WPS	Sixltr	Dic	i	we	you	shehe	they	ipron	article	auxverb	past	present	future	adverb	preps	conj	negate	quant	social	posemo	negemo	insight	cause	discrep	tentat	certain	inhib	incl	excl	motion	space	time	work	achieve	money	relig	death
17.38	29.79	75.63	2.22	1.69	.19	.87	.77	5.42	8.12	7.83	2.95	6.38	1.26	2.22	11.94	4.69	1.02	2.22	7.3	3.05	1.5	2.32	1.35	1.64	1.69	.97	.87	4.59	1.5	1.45	6.38	3.92	4.35	2.61	1.31	.1	.97
15.91	39.91	73.68	1.02	1.32	0	1.17	0	3.8	7.75	5.7	2.19	4.53	1.32	1.9	11.4	4.09	.15	3.51	6.58	4.09	3.95	1.32	2.05	1.46	1.32	1.61	1.32	3.65	1.02	1.75	6.14	5.99	5.26	3.36	.88	.44	.73
15.74	35.79	74.92	.5	2.01	0	.67	0	3.18	9.7	6.19	.84	4.85	1.34	2.34	10.87	3.34	.33	2.68	6.69	5.18	4.35	.84	1.67	1.34	1	2.01	1.84	4.68	.84	1.51	7.36	5.35	4.35	2.68	.67	.33	.67
18.05	37.43	71.18	1.28	1.96	0	1.36	.26	5.2	7.5	5.63	2.81	4.6	.6	2.3	10.57	4.6	1.36	1.71	6.39	2.22	3.58	2.3	1.71	1.02	1.36	1.71	.85	4.35	1.79	2.13	4.86	3.92	5.97	4.52	.85	0	1.11
20.31	32.97	74.12	.58	3.01	0	.92	1.09	3.92	8.1	7.1	.83	5.43	2.25	1.59	11.85	5.01	.83	2.67	8.6	4.84	4.92	2	1.59	2.67	1.67	3.34	2	6.51	1.09	1.34	5.59	2.84	2.67	2.75	.33	.08	.33
21.37	30.05	71.67	.74	3.2	0	.25	0	4.68	7.64	8.37	2.22	6.4	1.23	3.2	10.34	4.68	1.48	1.23	6.9	5.42	2.22	.74	1.48	2.46	1.23	1.97	.99	5.17	2.22	.99	9.36	4.43	3.45	2.22	.25	0	0
21.82	33.96	72.6	1.35	1.04	0	0	.42	6.04	8.33	5.62	1.67	5.42	1.35	2.5	12.6	4.17	.94	1.88	5.21	3.85	3.44	2.71	1.25	1.98	2.5	1.25	1.67	2.81	2.6	1.67	6.25	4.27	4.17	3.44	.42	.1	.94
25.44	42.54	62.7	0	.1	0	.71	.71	2.22	7.16	3.73	1.31	2.32	.71	1.31	13.61	4.03	.2	2.02	5.65	2.12	3.33	.71	2.12	.71	1.41	1.61	1.51	2.62	.6	1.61	6.65	2.12	6.55	3.73	1.11	.2	.3
16.22	36.74	71.89	2.1	1.85	0	.12	1.11	4.07	7.52	4.93	1.23	6.04	.49	2.47	13.44	4.32	.86	1.48	9	1.97	3.58	1.23	1.23	1.6	.99	1.23	.99	4.69	.74	2.71	3.82	4.07	4.44	3.45	.12	.12	.62
22.61	34.05	69.84	2.41	2.01	0	0	.27	3.35	8.04	6.43	.8	5.5	1.47	2.82	13.14	4.56	.54	1.88	4.83	3.35	3.35	4.16	2.82	2.28	2.28	1.34	.67	4.42	1.07	1.47	5.76	3.35	2.28	2.95	0	0	.27
19.66	32.11	69.16	1.75	.32	0	0	1.11	4.29	7.63	6.52	3.18	4.13	.64	2.54	13.67	4.29	.16	2.7	6.52	2.23	3.34	1.27	2.07	.64	1.75	.64	.95	3.66	.64	1.75	6.2	6.04	2.7	2.86	.64	0	1.75
22.81	35.49	72.44	.42	4.38	0	.21	1.25	4.8	4.18	8.77	.42	6.26	2.09	3.13	11.9	5.85	2.09	1.25	8.14	4.18	2.92	2.09	1.25	2.51	1.67	2.71	2.3	4.59	3.76	1.04	7.72	3.55	2.71	3.97	0	0	.21
23.79	38.94	71.24	.22	.44	0	0	.22	4.65	9.73	5.75	.44	3.54	1.33	.66	13.5	4.2	1.33	2.88	4.2	7.52	1.77	2.65	1.33	1.55	.22	2.43	1.55	3.76	.88	0	6.42	3.32	2.21	2.88	.22	0	0
24.19	35.77	71.7	1.27	.95	0	0	.32	3.66	6.68	5.41	1.11	4.77	.32	2.23	13.04	5.88	1.43	2.54	6.52	1.59	3.18	1.43	2.23	.95	1.59	.95	1.59	4.93	1.59	2.07	7.15	4.13	3.97	2.54	.32	0	.48
17.75	31.22	74.88	.47	2.82	0	.7	0	2.11	8.92	6.34	2.11	3.29	1.41	2.35	14.32	5.4	1.41	2.58	8.22	1.64	2.35	.7	1.41	1.88	1.64	1.88	1.88	4.93	2.82	1.41	8.22	5.63	2.35	1.41	.23	.23	2.35
22.21	35.74	70.94	1.5	1.09	0	0	.14	4.5	9	5.59	1.77	5.18	.55	1.23	15.42	4.91	.68	2.05	7.09	3.55	2.46	1.91	.82	1.23	1.5	1.77	1.5	4.37	1.36	.55	5.87	2.86	4.09	2.46	.27	.14	.41
31.61	39.2	71.25	1.24	.41	0	0	.83	4.54	7.57	4.68	.83	4.4	.69	1.93	12.1	5.78	0	2.61	5.36	4.95	1.93	1.51	1.51	.96	.55	1.24	.96	4.68	.55	1.93	5.23	3.58	4.81	2.61	2.2	0	.41
20.68	37.5	68.75	.24	3.42	0	.12	.59	4.13	5.42	6.37	.83	5.54	1.53	2.83	12.74	6.37	1.53	2.36	6.49	2.83	3.66	1.65	1.18	2.12	2.36	.71	1.42	6.84	2.48	1.3	5.66	2.95	4.25	3.66	.47	.47	.12
25.81	41.38	67.88	.12	.12	0	0	.75	3.62	9.75	4.25	1	3.62	.75	1	12.5	3.38	.25	2.12	4.12	2.88	3.12	1.5	2.62	.88	1.88	1.75	1.62	3.5	1	2	8.75	3.75	3.38	2.75	.12	0	.5
21.21	39.3	71.46	2.78	.73	0	.12	.24	2.9	7.74	4.11	1.45	5.08	.24	1.69	14.63	4.35	1.57	1.21	6.89	3.99	2.06	2.18	.97	.73	1.09	1.21	.36	4.23	2.66	1.09	6.77	3.99	6.29	4.59	.24	.48	.24
19.85	30.7	75.29	1.23	2.11	0	.2	.48	5.51	7.96	7.9	.75	6.88	1.84	2.31	12.32	4.15	1.43	2.59	6.26	2.93	3.88	2.31	2.59	1.7	3.27	1.36	1.84	4.08	2.79	1.84	7.22	2.18	2.79	3	.07	.07	.14
27.19	34.38	65.26	.5	1.09	.09	.05	.45	3.59	6.72	5.13	1.5	3.77	1.04	2.18	11.58	5.13	.82	2.09	3.45	3.45	3.04	1.59	2.09	1.04	1.68	1.32	1.09	4.27	1.23	1.54	8.58	3.59	4.13	2.95	.86	.05	.18
17.7	26.54	76.95	1.97	3.05	.25	.84	.84	5.5	7.08	10.32	1.97	9.43	1.52	4.13	10.96	5.6	1.52	1.92	8.8	1.87	2.36	2.8	2.85	2.21	1.72	1.97	.54	6.49	2.11	2.75	4.77	4.08	2.31	2.46	.25	.05	.2
22.42	34.85	74.54	.46	1.77	0	1.21	.84	4.09	5.95	6.41	.84	5.48	1.21	2.23	14.13	4.83	1.12	2.42	9.11	3.25	3.53	2.7	2.79	1.49	1.02	2.79	1.39	5.39	1.12	1.95	5.86	3.07	4.18	4.46	.09	.46	0
19.1	36.55	72.76	.72	1.89	0	.61	.22	4.12	7.41	6.96	1.34	5.57	1.56	1.45	12.7	4.18	.95	1.89	6.91	3.29	3.29	3.29	3.06	1.73	2.12	1.67	2.34	3.79	1.84	1.56	6.41	3.62	4.57	3.34	.39	.06	.45
16.76	25.33	81.43	1.19	3.98	1.06	.8	1.06	7.69	8.62	11.01	1.19	11.01	1.72	3.58	12.07	4.64	.8	1.33	12.73	2.52	3.32	2.25	2.12	2.65	3.58	1.19	1.06	4.77	2.79	1.46	5.31	1.59	2.52	2.92	.13	0	.66
27.94	28.32	76.04	1.5	2.96	.36	.83	.36	7.05	7.99	7.16	1.66	6.59	1.24	2.54	13.07	5.34	1.35	2.13	7.52	3.27	3.32	2.02	2.7	1.19	2.7	1.4	.73	5.24	2.49	1.92	7.11	2.18	3.01	3.16	.26	.05	.47
21.86	37.32	69.65	.73	.83	0	1.25	.73	3.74	6.96	5.51	1.98	4.99	1.14	1.25	13.41	4.78	.83	1.87	6.55	3.33	2.91	2.18	2.39	1.46	1.14	1.46	2.08	4.16	1.25	1.25	6.44	4.16	4.89	3.22	.42	.1	.1
21.29	30.38	74.44	2.32	1.37	.06	.3	1.13	5.95	6.9	7.49	1.84	6.84	1.19	2.56	13.67	5.35	1.07	1.66	6.42	3.27	2.44	1.96	1.9	1.61	2.73	1.07	.89	4.28	2.91	3.03	6.06	3.57	3.86	3.45	.77	0	.06
24.51	32.02	73.03	1.01	2.86	.25	.46	.63	5.85	7.78	7.07	1.6	6.23	.93	2.86	14.26	4.88	.88	1.89	7.24	2.78	3.2	1.18	2.4	1.09	1.51	.97	1.26	4.75	1.89	1.39	6.6	3.03	3.03	3.49	.63	.34	.13
20.19	29.05	72.9	1.57	2.19	.14	.52	1.76	5.38	6.48	7.86	.76	7.67	1.71	3.19	12.86	5.38	1.48	2.9	6.9	3.1	3.1	1.81	1.48	2.1	3.29	.81	.76	4.62	2.76	1.43	6.76	2.86	2.62	2.38	1.52	.1	.05
20.83	36.57	68.74	1.02	1.84	0	.2	1.53	4.49	7.15	5.72	1.12	5.41	1.23	1.43	13.07	4.7	1.02	1.74	6.64	2.35	3.98	1.53	2.25	1.63	1.53	.61	.61	4.09	2.04	1.74	4.6	2.35	5.21	4.29	1.53	.1	.1
29.64	35.66	66.75	1.08	1.08	0	.12	.12	5.3	6.27	5.18	.48	4.7	.72	2.41	13.73	5.78	.36	2.53	2.77	2.53	2.65	.84	.84	1.2	2.05	1.2	1.57	5.06	1.45	1.81	6.99	3.13	3.98	2.65	.6	.12	.12
25.02	38.69	65.99	.17	.26	.09	.09	.77	4.68	8.25	4.76	1.19	2.64	1.36	2.3	12.84	4.51	.68	1.53	3.06	1.96	2.64	.77	2.38	1.36	.77	1.45	2.21	4.34	.94	1.19	6.21	3.83	6.04	3.83	1.7	.17	0
25.32	44.15	57.12	.56	.85	0	0	.42	3.95	4.65	4.94	.14	3.81	.85	1.83	10.01	3.53	.28	2.96	2.54	1.69	2.4	.42	1.69	.85	.71	.28	.85	2.96	.28	1.41	4.65	5.22	4.65	3.24	.71	.14	0
21.88	38.98	71.24	2.69	.27	0	.27	0	7.53	9.14	7.8	1.08	6.45	1.88	2.42	11.56	4.57	.27	1.08	4.3	2.42	.54	3.76	3.23	1.08	2.42	1.34	1.08	2.15	1.88	1.34	4.03	2.15	5.91	3.76	1.61	.27	0
25.94	38.44	67.12	1.36	.34	0	.57	.23	4.31	8.28	4.08	1.7	2.83	.79	2.61	12.7	4.2	.68	1.02	4.65	.91	3.17	1.02	1.36	1.13	.68	1.25	1.47	3.63	.68	2.38	2.83	4.99	7.48	3.63	.57	.11	0
16.62	24.8	76.6	2.57	2.79	.29	.44	.37	5.14	8.73	7.56	1.76	7.92	.81	3.89	12.91	6.02	1.1	2.13	9.17	3.08	1.25	1.83	1.54	1.69	2.13	1.61	1.03	6.16	2.2	1.1	6.16	4.11	3.23	1.25	.81	.07	.07
25.85	39.48	66.78	.68	2.05	0	.11	.34	2.96	8.08	1.82	1.14	2.16	.23	1.25	12.97	4.78	.34	2.5	5.92	3.64	2.05	1.14	1.71	.46	1.02	1.93	.68	4.21	.8	1.59	5.23	4.21	7.51	2.96	3.3	.11	0
17.19	27.65	72.67	1.2	2.55	.08	.48	2.31	5.5	8.05	8.21	3.51	6.85	.56	3.43	14.02	4.78	.48	1.59	10.36	2.71	.96	1.04	1.91	1.83	1.83	.88	1.59	5.42	.72	2.39	7.17	1.99	1.99	2.39	.4	0	.32
20.38	38.9	68.88	.53	1.88	0	.53	.36	4.09	8.29	6.58	1.32	5.05	.92	1.74	11.42	3.81	1.64	2.24	5.41	2.63	3.17	2.7	2.24	1.17	2.45	1.03	1.85	3.34	2.45	1.24	6.08	2.84	3.98	4.87	.75	.04	1.24
18.97	22.13	82.45	1.64	6.14	.35	.09	.35	5.96	7.69	11.84	1.12	11.58	1.38	4.24	12.53	5.88	1.3	2.33	9.68	1.73	.86	2.33	2.33	2.16	2.25	.95	.86	6.91	1.9	1.99	6.31	4.32	3.11	2.85	3.98	0	.17
23.41	34.87	62.01	.58	.23	0	.12	.58	3.46	9.93	5.31	2.42	3.23	.58	1.15	14.32	3.93	.23	.81	3.46	.92	3	2.31	1.62	1.15	.92	.81	.23	3	.58	1.85	7.51	3.46	1.85	2.08	.23	.12	1.62
16.53	31.16	70.84	1.33	.67	.12	1.09	1.09	4.6	7.56	6.23	3.69	3.99	1.33	2.48	11.25	5.02	.91	1.45	8.23	1.51	3.45	1.75	1.27	1.39	1.21	.97	.48	4.54	1.33	2.18	6.35	3.33	2.72	2.12	0	0	1.57
20.71	33.5	70.97	1.59	.86	0	.98	.31	4.77	7.52	5.44	.79	4.89	1.04	1.96	13.81	2.87	.61	2.63	5.2	2.63	1.53	2.87	2.81	1.1	.92	1.71	1.53	3.24	.73	2.02	5.99	3.36	4.52	3.24	1.34	0	.43
16.48	30.87	69.66	1.58	1.85	0	1.58	.53	4.49	7.39	7.65	2.11	6.6	.79	2.11	10.55	5.54	.53	1.32	10.82	.53	5.28	2.11	.79	1.85	1.85	1.06	0	5.54	1.58	.53	4.49	2.9	2.37	1.58	.53	.26	1.32
18.04	29.98	71.21	1.4	2.96	0	.43	.59	4.2	7.1	7	1.13	5.54	1.83	3.39	11.95	5.27	1.08	2.15	6.57	1.51	4.25	2.48	1.61	1.29	2.15	.97	.7	5.81	1.88	1.94	7.64	3.93	2.1	2.37	.38	.32	1.08
22.32	30.4	72.16	1.76	1.44	0	.64	.8	4.16	7.68	5.92	2.24	5.76	.96	1.76	12.8	4.64	1.44	1.92	6.4	3.36	1.92	2.08	2.4	1.44	1.44	1.44	1.92	6.4	2.24	1.44	6.56	4	2.88	2.72	.16	.48	.8
16.15	27.96	74.89	1.11	2.71	.15	.97	.44	5.47	6.43	8.22	1.06	6.82	2.23	2.9	11.9	6.19	1.94	1.98	7.79	2.56	3.82	2.08	2.32	2.52	2.61	1.89	1.26	5.76	2.71	1.79	7.01	3.63	2.52	2.66	.19	.24	1.26
16.33	27.56	74.74	2.82	1.29	.33	1.34	1.05	4.74	8.18	6.79	4.11	6.08	.29	2.78	13.64	4.4	.72	2.06	10.14	2.68	1.82	1.2	1.2	.96	1.05	.67	.67	4.4	1.72	2.54	6.99	3.54	2.15	2.25	.14	0	.53
17.11	28	75.69	2.46	1.85	0	0	.31	3.08	7.38	7.69	2.15	7.38	1.54	3.69	15.69	4.92	0	2.15	5.54	1.54	1.85	0	1.85	1.85	1.54	.62	0	4.62	.92	3.38	8.31	6.15	3.69	1.54	.31	0	0
21.02	35.73	66.92	.88	.66	0	0	.22	5.53	7.19	3.87	.77	2.77	1.11	1.88	12.39	4.09	.77	2.77	4.76	2.77	2.43	1.66	1.22	1	1.33	1.66	2.21	2.99	1.11	2.21	7.08	3.54	4.76	2.43	1	.11	.11
14.35	23.98	77.66	1.43	2.25	.2	0	1.43	3.28	8.81	7.99	1.23	7.79	.82	3.89	14.55	5.12	.61	2.46	8.4	1.84	1.84	1.23	.82	1.02	2.25	.41	.61	4.51	1.64	2.66	9.43	4.51	1.64	1.84	0	0	1.02
16.84	29.07	76.51	1.54	1.33	.05	.05	1.18	5.22	8.9	7.57	1.94	5.99	1.13	3.89	11.62	4.91	.97	2.25	5.22	2.2	4.09	1.59	2.05	1.38	1.54	1.43	.97	4.3	1.59	1.69	7.88	4.55	2.87	2.71	.82	.05	.92
18.54	30.54	73.69	.58	2.49	.25	1.08	.83	4.48	7.55	6.72	2.16	4.32	1.58	2.57	11.37	5.56	1.91	1.99	8.13	3.4	4.07	1.16	2.16	1.99	2.32	1.41	1	4.65	2.82	1.91	5.89	5.73	2.57	3.07	.33	.25	.66
16.49	23.59	77.16	1.58	1.99	.33	.25	.5	5.56	8.64	7.97	3.41	7.14	.42	3.9	15.2	4.82	.58	2.24	9.63	2.74	1.5	.83	.83	.75	1.08	1.33	.33	4.82	1.08	1.74	8.72	4.57	1.83	1.33	0	.17	.66
22.46	21.64	82.81	1.16	2.14	0	0	.89	6.23	10.86	7.57	2.85	6.41	.8	2.85	16.47	5.16	1.34	1.96	8.28	2.23	1.78	1.87	1.6	1.25	.89	.53	1.25	5.52	2.05	2.67	8.82	4.54	3.03	2.76	.09	0	1.25
16.95	28.09	71.63	1.26	.84	.42	0	.98	4.35	7.72	6.46	1.69	6.32	.14	2.81	16.01	4.21	.84	2.81	6.74	1.97	2.39	.42	.84	0	.84	.7	.84	4.35	1.26	2.67	7.58	4.63	2.25	1.54	0	.14	1.54
25.65	28.79	73.31	1.35	2.7	.3	0	.6	4.5	7.8	6.6	1.05	5.4	1.5	2.7	13.19	5.55	1.8	2.4	7.05	2.85	1.8	1.8	2.55	1.8	1.95	1.65	.9	6.3	2.55	1.05	8.55	2.85	2.85	3	.75	.15	1.2
22.28	34.16	73.07	2	1	0	1	1.25	5.49	5.99	6.23	2.99	4.99	1.25	1.5	13.97	3.49	.75	1	5.49	1.5	6.23	1.5	2.49	.5	.5	1.75	1.5	3.99	1	1.25	5.99	5.49	3.74	4.49	.5	.5	1.5
22.62	33.4	70.04	1.22	1.65	0	1.08	.99	3.76	7.53	7.01	1.98	5.27	1.32	2.49	11.85	5.32	1.03	1.65	6.54	1.98	2.87	2.02	2.45	1.83	1.65	.94	1.79	3.67	2.35	1.65	5.03	3.48	4.84	3.72	.38	0	.47
19.17	33.83	68.41	.89	1.34	0	0	.3	3.73	7.6	6.26	1.34	4.47	1.04	1.79	13.86	3.73	.89	1.79	4.47	2.68	2.38	1.19	1.94	1.34	1.64	.45	2.09	2.98	1.19	2.98	6.11	4.02	2.53	2.53	.3	.45	.75
18.04	33.49	69.16	2.65	1.93	0	.48	.96	4.1	6.75	6.51	.96	7.71	.96	2.89	11.33	5.78	2.65	2.41	8.19	3.86	1.69	1.2	3.37	1.2	1.2	1.45	1.93	4.58	3.13	1.93	4.58	3.37	4.1	4.58	0	0	.24
22.42	28.13	76.54	.91	3.8	.62	.17	.95	6.15	7.77	8.34	1.12	7.97	1.24	3.1	12.6	6.57	1.4	1.98	8.22	2.27	2.4	2.48	3.06	1.24	2.35	1.57	.45	5.87	2.48	2.35	6.28	3.1	2.44	2.4	.08	.37	.17
19.1	26.4	78.83	1.68	2.46	.09	.09	.91	6.78	7.28	8.92	2.28	8.74	.86	4.28	13.02	5.83	1.73	1.87	6.65	1.46	2.41	3.05	3.46	1.37	2.87	1.46	.5	4.69	2.82	2.18	7.28	3.32	1.91	2.32	.5	.18	.68
18.81	34.05	70.59	.79	2.04	.34	.45	.34	3.62	8.26	6.22	1.02	3.73	2.38	1.92	10.75	3.96	1.24	2.15	5.66	4.19	1.92	3.05	2.26	2.38	.9	2.71	1.24	5.54	1.24	1.58	8.26	4.64	4.19	4.86	.23	0	0
18.66	24.19	78.25	1.5	4.57	.08	1.42	1.1	5.99	8.59	9.38	1.73	9.3	1.34	2.6	11.43	4.41	.79	2.36	12.06	3.23	1.89	1.58	1.73	2.05	1.34	1.34	1.34	6.78	1.58	1.89	5.44	3.23	3.07	3.31	.24	0	.39
24.39	26.06	79.76	2.38	4.1	.13	.13	0	7.8	8.07	9.92	.66	11.11	1.46	3.84	11.24	5.56	.93	2.12	8.86	4.1	.4	3.31	1.06	2.38	3.44	2.12	.53	6.61	2.91	2.51	4.37	3.97	2.25	3.31	.26	0	.13
23.69	30.75	72.36	1.21	1.41	0	.2	.6	5.23	8.44	7.44	2.01	7.34	.5	3.52	14.57	4.92	1.01	.8	4.82	2.31	2.71	2.11	1.11	1.21	1.11	1.01	.9	4.32	2.21	2.41	6.93	3.22	2.31	2.31	.1	0	.6
18.22	25.75	76.27	3.47	3.55	0	.81	.89	5.41	5.81	9.2	2.58	8.07	1.45	4.28	11.38	4.6	1.37	1.86	9.12	1.53	2.42	1.45	1.78	2.02	1.29	.89	1.13	6.13	1.69	1.78	5.17	4.92	2.74	2.58	.97	.4	.24
20.49	28.66	76.81	2.27	2.18	.06	.22	.99	6.68	6.84	8.95	3.11	7.34	1.65	2.89	12.34	5.88	1.43	2.08	6.84	2.05	3.26	2.67	2.49	1.96	2.46	1.18	1.24	5.63	2.3	1.68	6.25	3.64	1.77	2.83	.22	.28	.81
21.44	31.73	74.56	2.55	1.89	.11	1.74	.59	4.44	6.66	7.59	3.18	6.81	1.18	3.26	10.88	4.85	1.63	2.26	9.11	2.48	3.92	2.22	2.22	1.96	1.78	1.59	1.44	4.15	2	1.26	5	3.41	3.63	4.22	.15	.04	.96
21.78	33.53	72.72	1.76	.86	.07	.4	.47	4.86	8.32	6.59	2.13	5.85	1.06	2.73	12.51	4.82	.96	2	4.69	2.69	3.66	1.66	2.99	1.46	1.73	1.4	1.23	4.09	1.53	1.8	7.09	4.66	2.69	2.2	.1	.07	.83
18.31	41.3	70.31	.68	.17	0	0	1.37	2.73	6.66	6.48	2.73	4.44	.51	2.39	10.92	7.68	.68	.85	6.83	5.12	.68	1.37	.34	.34	.68	.34	3.75	5.8	1.54	1.19	6.31	2.22	2.9	2.05	.85	0	0
19.62	34.16	72.18	.14	1.79	0	.69	.41	2.07	10.88	5.79	1.65	2.89	2.2	2.34	13.64	5.1	1.24	1.79	8.4	2.34	2.48	1.1	1.65	2.34	1.79	1.79	1.65	4.55	1.65	1.65	7.16	5.23	2.75	1.93	.14	.14	1.52
19.55	37.67	67.91	3.26	1.4	0	1.4	0	2.33	8.37	3.26	0	4.65	.47	1.86	12.09	5.58	.93	.93	7.91	3.26	5.58	1.4	.47	.47	0	0	.47	4.19	.93	1.86	6.51	4.19	5.58	.93	.47	0	0
17.57	29.3	74.82	.17	3.01	0	.51	1.24	3.72	7.83	7.15	1.3	5.97	1.52	2.54	12.9	4.34	1.32	2.7	8.54	3.21	4.62	1.77	2.06	1.44	1.8	2.08	1.1	4.42	2.31	1.04	6.62	3.89	2.76	2.59	.73	.59	1.77
24.48	28.71	69.85	1.61	1.27	0	.52	.17	3.28	9.49	8.29	1.61	5.41	1.5	3.11	13.69	5.01	1.15	1.67	4.03	1.5	2.65	1.78	2.19	1.96	2.42	.86	.98	3.74	2.19	1.44	6.96	4.32	2.24	2.93	.12	.35	.92
19.43	37.25	70.51	.31	2.3	.08	.31	.15	4.61	7.37	5.38	2.07	3.15	1.38	3.3	11.67	5.15	.92	1.84	4.69	2.53	5.76	1.77	1.61	1.38	1.69	1.15	3.69	3.99	2	1.77	6.99	4.38	2.61	2.69	0	.31	1.31
26.19	31	69.82	2.91	.82	.27	.91	.27	5.09	5.64	5.73	1.09	5.82	.73	2.36	13.27	5.73	.91	2.18	6	2.45	3.09	2.91	1.18	1.27	1.64	.64	.91	4.64	1.73	.64	6.18	2.73	2.82	1.73	1.18	.18	.64
20.43	28.29	73.07	2.18	3.26	.09	.36	1.72	5.26	6.8	9.52	1.18	9.25	.82	1.81	12.87	5.08	1.99	1.45	9.61	2.81	1.9	1.63	1.45	1.63	1.18	1.09	.82	6.07	1.99	1.54	6.17	2.63	3.17	1.27	1.18	.18	1
17.91	24.17	77.67	2.1	4.96	.16	.69	.56	5.98	7.16	10.8	1.48	10.94	1.77	4.2	10.11	6.17	2.3	1.61	9.62	3.09	1.15	2.2	1.81	2.43	2.2	1.9	.82	7.22	3.91	2.66	6.04	4.14	1.9	2.73	.36	.03	.26
16.47	29.68	76.69	4.8	1.47	.29	.69	0	6.27	7.25	9.21	3.04	6.95	1.57	4.51	12.63	4.51	.98	1.96	9.3	2.35	1.18	2.25	.78	1.67	2.35	2.06	1.37	3.43	2.25	.98	5.97	3.33	2.55	1.96	0	0	.2
16.96	28.28	73.61	2.94	1.56	.36	.87	.94	5.31	7.53	8.55	3.46	6.55	1.07	2.75	11.81	4.99	1.24	1.41	8.35	2.22	1.96	2.15	2.58	1.53	2.22	1.33	.91	4.18	2.25	1.74	5.28	3.92	2.64	2.58	.23	.22	.42
20.45	29.81	72.99	2.84	1.12	.19	1.44	.19	4.33	9.32	8.94	2.75	6.99	1.63	3.77	14.07	5.31	.98	1.4	7.17	1.77	1.16	2.84	1.96	1.77	2.93	.84	1.07	3.45	2.28	1.54	4.7	3.54	2.1	2.56	.23	.05	.61
21.95	27.33	75.39	3.53	2.65	.51	.15	.66	5.22	8.38	6.83	1.4	7.27	.96	2.5	14.77	4.19	.66	1.76	8.23	3.97	2.06	1.32	1.98	1.98	2.5	1.91	.44	5	2.06	2.79	6.98	4.7	1.84	2.5	.22	0	.07
17.85	31.5	73.18	.46	3.55	.15	.77	.51	3.34	8.38	6.63	1.18	5.19	1.85	2	12.13	4.47	.87	1.8	8.68	3.6	3.19	1.64	2.06	2.47	1.9	1.44	1.03	5.81	1.85	1.28	4.78	3.44	3.75	3.44	1.49	.05	.67
19.56	31.63	70.95	1.53	2.64	.11	.37	.58	3.58	7.17	6.85	3.16	5.01	.9	2.16	12.65	4.69	.63	1.9	8.38	2.79	3.06	1.27	2.06	1.27	1.21	.79	1.42	4.69	1.27	1.58	6.27	4.06	2.79	2.37	1.37	.79	.58
17.27	32.24	72.88	1.16	2.03	.1	1.64	1.16	3.76	8.2	5.21	1.16	5.31	.58	1.45	12.74	5.12	.97	1.54	7.72	2.99	3.09	2.22	1.74	1.06	1.25	1.16	2.7	4.63	2.12	1.83	6.18	3.67	3.76	3.38	.68	0	.39
24.32	29.74	70.12	1.32	2.72	.07	.22	.66	4.99	9.18	6.83	2.79	5.29	1.25	3.01	12.04	3.96	1.1	1.91	7.05	1.54	1.91	1.62	1.25	1.54	1.69	.88	.66	5.29	1.98	1.4	5.73	2.86	3.08	1.69	1.84	.22	.44
23.46	35.37	67.86	1.15	.92	0	0	.46	2.76	8.29	4.26	2.07	3.23	.81	2.53	14.52	3.92	.81	2.53	4.72	2.07	1.96	1.38	1.73	.58	1.15	1.04	.58	4.03	1.27	.69	9.22	5.65	3.23	1.84	.46	0	.58
23.29	47.85	61.2	.31	.77	0	.61	.15	3.22	6.13	4.91	.15	3.83	1.07	1.38	11.96	4.75	0	1.53	3.37	2.61	1.69	.61	2.91	.77	.15	1.07	2.45	4.91	.31	1.07	8.28	1.84	5.21	4.14	.92	.31	.31
22.46	29.79	75.3	.94	1.76	.3	1.28	.56	5.09	8.26	8.09	2.27	5.95	1.33	2.91	13.36	6.21	1.46	2.44	6.68	2.61	2.05	1.46	2.48	2.27	2.53	.98	1.16	4.62	3	1.24	5.69	4.02	3.9	2.44	.26	.09	.09
22.83	26.72	75.23	.83	2.48	.05	.44	1.07	6.28	7.83	9	1.02	8.42	1.12	3.36	12.6	4.33	1.31	2.04	6.67	2.14	2.58	2.29	2	1.8	2.73	.58	.68	5.26	2.43	1.22	8.66	3.41	2.19	2.24	.49	.15	.15
25.26	36.37	67.96	.46	1.2	0	.28	.46	4.24	7	5.34	1.38	3.87	1.01	1.93	10.87	4.7	1.66	1.75	5.99	3.78	2.49	1.66	2.03	1.75	1.57	.74	1.66	3.87	2.03	2.21	8.38	3.78	4.88	3.41	.74	0	0
29.19	30.37	76.4	1.44	1.4	.21	.76	.38	6.85	9.05	8.59	2.41	7.02	1.35	2.75	13.2	6.05	.93	1.99	6.43	2.58	2.03	2.5	2.33	1.73	2.28	.8	.97	4.23	2.24	1.95	5.16	3.81	3.68	3	.42	0	.3
15.88	35.83	67.32	.79	1.18	0	0	.39	3.15	7.87	5.51	.79	4.33	1.57	1.57	12.2	3.94	1.57	1.57	4.72	3.15	2.76	1.57	1.18	.39	1.18	.79	1.97	3.15	1.57	3.15	5.51	4.33	3.94	3.54	.79	.39	0
21.61	27.35	77.07	1.2	1.7	.39	1.36	1.07	6.25	7.61	9.2	2.64	8.08	1.2	2.95	12.21	5.59	1.83	2.04	7.66	2.88	1.96	2.75	2.35	2.3	2.67	1.44	.78	4.31	2.98	2.09	6.04	3.58	2.3	2.54	.24	.18	.13
